"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @InfinixGhana: Buy a Hot 7 exclusively on Jumia today and win free gifts instantly. Visit
https://t.co/Qy5wB89t8r now to make a purchase…",FALSE,0,NA,2019-02-26 18:00:19,FALSE,NA,"1100455535701344256",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Asem056",39,TRUE,FALSE,NA,NA
"RT @SubDeliveryZone: - Between an Oxford educated entrepreneur - @tayooye
and Former jumia travel boss - @marekchinedu https://t.co/qcb9beU…",FALSE,0,NA,2019-02-26 17:58:47,FALSE,NA,"1100455147317149696",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","zulla87",92,TRUE,FALSE,NA,NA
"RT @cassy_collins_: Literally announcing myself as a Jumia fashion influencer , so most of my subsequent post will be clothes and accessori…",FALSE,0,NA,2019-02-26 17:52:04,FALSE,NA,"1100453456614178817",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","oluwaflojo",1,TRUE,FALSE,NA,NA
"RT @SubDeliveryZone: - Between an Oxford educated entrepreneur - @tayooye
and Former jumia travel boss - @marekchinedu https://t.co/qcb9beU…",FALSE,0,NA,2019-02-26 17:51:08,FALSE,NA,"1100453222567895041",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","abiodun_john27",92,TRUE,FALSE,NA,NA
"RT @SubDeliveryZone: - Between an Oxford educated entrepreneur - @tayooye
and Former jumia travel boss - @marekchinedu https://t.co/qcb9beU…",FALSE,0,NA,2019-02-26 17:49:48,FALSE,NA,"1100452889439490048",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Aajibola_a",92,TRUE,FALSE,NA,NA
"RT @SubDeliveryZone: - Between an Oxford educated entrepreneur - @tayooye
and Former jumia travel boss - @marekchinedu https://t.co/qcb9beU…",FALSE,0,NA,2019-02-26 17:44:00,FALSE,NA,"1100451426625601536",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Fwesh_Boiz",92,TRUE,FALSE,NA,NA
"RT @SubDeliveryZone: - Between an Oxford educated entrepreneur - @tayooye
and Former jumia travel boss - @marekchinedu https://t.co/qcb9beU…",FALSE,0,NA,2019-02-26 17:43:04,FALSE,NA,"1100451194772877314",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jasmine8305",92,TRUE,FALSE,NA,NA
"Political parties in Nigerian

YES
AA
VPN
Palm credit
Jumia
Olx
PayPal
Wells Fargo

Please feel free to add yours.",FALSE,2,NA,2019-02-26 17:40:49,FALSE,NA,"1100450628730568705",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Horlar_Scott",0,FALSE,FALSE,NA,NA
"RT @SubDeliveryZone: - Between an Oxford educated entrepreneur - @tayooye
and Former jumia travel boss - @marekchinedu https://t.co/qcb9beU…",FALSE,0,NA,2019-02-26 17:37:02,FALSE,NA,"1100449674081775617",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","abubakarshetti2",92,TRUE,FALSE,NA,NA
"True friends make you fall in love <U+2764><U+FE0F>

Wouldn't you rather buy Imose: https://t.co/w4tbTTmn3e

#ProudlyNigerian… https://t.co/sP7yNS4ZRk",FALSE,0,NA,2019-02-26 17:35:10,TRUE,NA,"1100449203170496513",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","imosenig",1,FALSE,FALSE,NA,NA
"RT @dresnice_com: we are totally committed to making your 2019 your best dressed year. To this end, we offer you this great deal to own cla…",FALSE,0,NA,2019-02-26 17:34:42,FALSE,NA,"1100449087315501056",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Jolmalu",3,TRUE,FALSE,NA,NA
"@chocochills @Kuukua_xx Jumia",FALSE,0,"chocochills",2019-02-26 17:32:42,FALSE,"1100444152767102976","1100448583101362177","468210842","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Naa_darkua",0,FALSE,FALSE,NA,NA
"RT @DurexNG: Get you a performer like no other <U+0001F601>
Click the link here. 
https://t.co/BZ8jIGbbsx
#LoveLikeAPerforma #DurexNG https://t.co/d9A…",FALSE,0,NA,2019-02-26 17:30:58,FALSE,NA,"1100448146583420928",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Addictedempress",9,TRUE,FALSE,NA,NA
"@werewolfdark Jumia",FALSE,0,"werewolfdark",2019-02-26 17:27:58,FALSE,"1100442595216502785","1100447395207438337","403126558","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","3amr3laa",0,FALSE,FALSE,NA,NA
"@oghenejega @Emmy_OffiXial @Gidi_Traffic @JumiaNigeria @JumiaHouseNG @jumia_online @JumiaNGHelp Thank you",FALSE,1,"oghenejega",2019-02-26 17:26:32,FALSE,"1100444206642868225","1100447030420426752","454766386","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","prestige_patric",0,FALSE,FALSE,NA,NA
"Please guys who’s attending Jumia food press conference tomorrow? Please send a message. Thanks",FALSE,0,NA,2019-02-26 17:20:54,FALSE,NA,"1100445613739642881",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Prettyfaze",1,FALSE,FALSE,NA,NA
"Vacancy at Jumia Nigeria for a Senior Backend Developer, 26th February, 2019 https://t.co/WsqQmaumKA",FALSE,0,NA,2019-02-26 17:19:41,FALSE,NA,"1100445310525104128",NA,"<a href=""https://www.google.com/"" rel=""nofollow"">Google</a>","jobzillanigeria",0,FALSE,FALSE,NA,NA
"RT @SubDeliveryZone: - Between an Oxford educated entrepreneur - @tayooye
and Former jumia travel boss - @marekchinedu https://t.co/qcb9beU…",FALSE,0,NA,2019-02-26 17:16:52,FALSE,NA,"1100444600265777158",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","IamEnexboy",92,TRUE,FALSE,NA,NA
"@prestige_patric @Emmy_OffiXial @Gidi_Traffic @JumiaNigeria @JumiaHouseNG @jumia_online @JumiaNGHelp Oh great one...",FALSE,1,"prestige_patric",2019-02-26 17:15:18,FALSE,"1100444023767089152","1100444206642868225","3371433862","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","oghenejega",0,FALSE,FALSE,NA,NA
"@oghenejega @Emmy_OffiXial @Gidi_Traffic @JumiaNigeria @JumiaHouseNG @jumia_online @JumiaNGHelp Yes I have... a lad… https://t.co/QrkfKf9WlR",FALSE,1,"oghenejega",2019-02-26 17:14:35,TRUE,"1100440895458082817","1100444023767089152","454766386","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","prestige_patric",0,FALSE,FALSE,NA,NA
"How did that speed dating event by Jumia go down?",FALSE,0,NA,2019-02-26 17:13:19,FALSE,NA,"1100443707717894144",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","antwaRogue",0,FALSE,FALSE,NA,NA
"@MooreNonso Hello Nonso, I am sending a friendly check-in about your query with Jumia. Kindly note that I am attent… https://t.co/my35QA3Z62",FALSE,0,"JumiaNGHelp",2019-02-26 17:12:36,TRUE,"1100022200436953088","1100443525878071296","3018296221","<a href=""http://www.salesforce.com"" rel=""nofollow"">Salesforce - Social Studio</a>","JumiaNGHelp",0,FALSE,FALSE,NA,NA
"*Drumroll <U+0001F941><U+0001F941> as we welcome the Huawei Y7 prime 2019 on Jumia! Its impressive 4000Mah battery plus 3GB RAM, you don'… https://t.co/InbgpMrYcU",FALSE,0,NA,2019-02-26 17:11:55,TRUE,NA,"1100443354079219712",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","herbeabea",0,FALSE,FALSE,NA,NA
"RT @SubDeliveryZone: - Between an Oxford educated entrepreneur - @tayooye
and Former jumia travel boss - @marekchinedu https://t.co/qcb9beU…",FALSE,0,NA,2019-02-26 17:10:29,FALSE,NA,"1100442993956438019",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Akinwobi_jr",92,TRUE,FALSE,NA,NA
"Get Huawei Y7Prime 2018 on jumia at a very affordable price. https://t.co/c8tlNfChEy https://t.co/6TGiDeCwC1",FALSE,1,NA,2019-02-26 17:08:37,FALSE,NA,"1100442523749752833",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","Phinesto2",0,FALSE,FALSE,NA,NA
"RT @LazywritaBlog: You can buy biro on Jumia and they will deliver in one massive carton 

Your neighbors will now think you’ve arrived…",FALSE,0,NA,2019-02-26 17:06:20,FALSE,NA,"1100441947536269313",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lazymediang",112,TRUE,FALSE,NA,NA
"@prestige_patric @Emmy_OffiXial @Gidi_Traffic @JumiaNigeria @JumiaHouseNG @jumia_online @JumiaNGHelp Please have you been contacted?",FALSE,0,"prestige_patric",2019-02-26 17:02:09,FALSE,"1100393677455872003","1100440895458082817","3371433862","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","oghenejega",0,FALSE,FALSE,NA,NA
"@Pdankz You can send us back all eligible items purchased on Jumia within 7 days from delivery date.
If you have an… https://t.co/fSYF782E6o",FALSE,0,"Pdankz",2019-02-26 17:00:00,TRUE,"1100435490979885058","1100440354023710720","185941903","<a href=""http://www.salesforce.com"" rel=""nofollow"">Salesforce - Social Studio</a>","JumiaNGHelp",0,FALSE,FALSE,NA,NA
"Last time i ordered jumia food. Meat lost on the meal. So delivery issa scam. Lol <U+0001F602> https://t.co/OZUCoewL9n",FALSE,1,NA,2019-02-26 16:59:28,FALSE,NA,"1100440220024082433",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","melosoj",0,FALSE,FALSE,NA,NA
"@Pdankz We work hard on regular quality checks and penalizing sellers for failing our quality standards. 
On rare o… https://t.co/EyskjtyPWg",FALSE,0,"Pdankz",2019-02-26 16:59:25,TRUE,"1100435490979885058","1100440207957151749","185941903","<a href=""http://www.salesforce.com"" rel=""nofollow"">Salesforce - Social Studio</a>","JumiaNGHelp",0,FALSE,FALSE,NA,NA
"@Pdankz Hi there,
We truly apologize for the inconvenience this may have caused you. 
Please keep in mind that Jumi… https://t.co/d9bZfLVPIz",FALSE,0,"Pdankz",2019-02-26 16:56:33,TRUE,"1100435490979885058","1100439487249858561","185941903","<a href=""http://www.salesforce.com"" rel=""nofollow"">Salesforce - Social Studio</a>","JumiaNGHelp",0,FALSE,FALSE,NA,NA
"RT @DurexNG: Are you physically fit? <U+0001F601><U+0001F4AA><U+0001F3CB><U+FE0F><U+200D><U+2640><U+FE0F><U+0001F938><U+200D><U+2642><U+FE0F>
Are you in it for the long haul? 
Click here. https://t.co/BZ8jIGbbsx
#LoveLikeAPerforma #…",FALSE,0,NA,2019-02-26 16:41:58,FALSE,NA,"1100435817632329731",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Richie5Tunde",8,TRUE,FALSE,NA,NA
"Dear Jumia @JumiaNigeria, I think you should upgrade your service, customers ordering a product and getting another… https://t.co/kaVyXJp0XJ",FALSE,0,NA,2019-02-26 16:40:40,TRUE,NA,"1100435490979885058",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Pdankz",0,FALSE,FALSE,NA,NA
"RT @SubDeliveryZone: - Between an Oxford educated entrepreneur - @tayooye
and Former jumia travel boss - @marekchinedu https://t.co/qcb9beU…",FALSE,0,NA,2019-02-26 16:34:08,FALSE,NA,"1100433846359728128",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","karenkelechi_",92,TRUE,FALSE,NA,NA
